Referee,Games_Officiated,Total_Travel_Miles,Avg_Miles_Per_Trip,Max_Single_Trip
Mike Pearson,29,10369.13,370.33,1567.29
Blanca Burns,22,10334.02,492.1,2057.11
Kevin Raher,29,10327.34,368.83,1050.33
Ian Caldwell,24,10191.32,443.1,1747.07
Chris Ford,38,10132.31,273.85,996.84
Eric Lewis,51,10067.87,201.36,1257.36
Chase Shaw,55,9903.15,183.39,1175.28
Greg Nixon,10,9850.12,1094.46,1973.08
Randal Anders,32,9681.03,312.29,1741.49
Donta Carter,33,9676.53,302.39,1370.82
DG Nelson,38,9523.17,257.38,1615.04
Tony Meeks,35,9440.95,277.67,1305.09
Steve McJunkins,52,9390.19,184.12,1574.25
Bill Ek,30,9277.33,319.91,1891.61
Jeff Pon,45,9233.82,209.86,1735.21
Michael Kitts,41,9210.59,230.26,2545.85
Ryan Christian,31,9188.67,306.29,1969.66
Jose Carrion,25,9135.46,380.64,1416.94
Chris Pacsi,31,9084.14,302.8,1424.44
Ryan Holmes,29,9057.52,323.48,2054.38
Ed Crenshaw,44,8818.33,205.08,1730.11
Erroll Lewis,40,8741.2,224.13,1240.41
Tariq Lucas,37,8679.49,241.1,908.09
Michael Griffith,22,8678.8,413.28,1127.15
Bharat Ramnanan,54,8581.48,161.91,1004.74
Christopher Merlo,30,8521.21,293.83,2322.27
James Ford,41,8463.45,211.59,1793.77
Robert Felder,42,8436.09,205.76,1639.68
Steve Divine,27,8428.05,324.16,1777.11
Michael Roberts,50,8350.73,170.42,904.23
Bill Covington Jr.,39,8347.56,219.67,1134.27
Johnee Gleich,19,8305.98,461.44,2083.67
Blake Harris,40,8266.88,211.97,1042.6
Greg Gerritsen,31,8228.28,274.28,1875.09
Craig Murley,15,8170.4,583.6,2711.42
Ed Corliss,63,8033.21,129.57,1081.54
Jim Bruno,32,8017.0,258.61,2053.77
AJ Desai,33,8001.39,250.04,2450.39
Anthony Jordan,35,7977.94,234.65,1013.83
Janetta Graham,15,7956.61,568.33,2484.71
Gene Grimshaw,37,7923.38,220.09,1289.63
Greg Langsdorf,20,7917.01,416.68,954.37
Anthony Eades,49,7649.29,159.36,2228.81
Leon Wilson,15,7568.24,540.59,790.98
Kenneth Moreland,24,7545.93,328.08,1060.77
Jeff Campbell,36,7225.26,206.44,1634.73
Dan Powers,25,7003.89,291.83,1169.01
Mike Palau,62,6950.56,113.94,733.63
Chris Beaver,36,6889.21,196.83,697.37
King Whetstone,22,6794.21,323.53,908.09
Nathan Hall,61,6792.2,113.2,992.02
Chris Hudson,33,6741.66,210.68,1567.82
Ron Tyburski,32,6718.24,216.72,1294.04
Allen Sutton,13,6657.75,554.81,1453.56
Bret Wegenke,9,6612.65,826.58,1374.98
Jason Deering,37,6472.9,179.8,947.64
Hunter Allen,39,6433.08,169.29,1168.36
Brian McAnally,18,6311.45,371.26,821.89
"Bill Covington, Jr.",17,6276.33,392.27,2473.35
