Referee,Games_Officiated,Total_Travel_Miles,Avg_Miles_Per_Trip,Max_Single_Trip
Garrett Theriot,18,42.17,2.48,42.17
Chris Devlin,11,39.3,3.93,39.3
Dave Fernandez,17,38.53,2.41,38.53
Jason Alabanza,15,38.34,2.74,38.34
Isaiah Rivers,2,33.21,33.21,33.21
Andy Cohn,9,18.1,2.26,18.1
Everett Summers,5,4.29,1.07,4.29
Rob Riley Jr,2,0.0,0.0,0.0
Dion Dowell,4,0.0,0.0,0.0
Kristyne Esparaza,2,0.0,0.0,0.0
Eddie Shannon Sr.,3,0.0,0.0,0.0
Byron Rosier,9,0.0,0.0,0.0
Javier Vazquez,2,0.0,0.0,0.0
Vladmir Voyard-Tadal,2,0.0,0.0,0.0
Alex Manuel,9,0.0,0.0,0.0
Michael Smith,2,0.0,0.0,0.0
Doug Simmons,3,0.0,0.0,0.0
Jeff Flowers,2,0.0,0.0,0.0
Sean Lee,3,0.0,0.0,0.0
D.G. Nelson,2,0.0,0.0,0.0
John Cahill,10,0.0,0.0,0.0
Travis Caswell,3,0.0,0.0,0.0
Chris Duprey,4,0.0,0.0,0.0
Doug Aprahamian,5,0.0,0.0,0.0
Eddie Shannon Jr.,2,0.0,0.0,0.0
Baharat Rammanan,3,0.0,0.0,0.0
Williset Del Valle,4,0.0,0.0,0.0
Steve Anderson,2,0.0,0.0,0.0
Brad Zapenas,8,0.0,0.0,0.0
Aaron Denton,12,0.0,0.0,0.0
Marquis Pettigrew,3,0.0,0.0,0.0
Michael Stramiello,6,0.0,0.0,0.0
Darren Budahn,6,0.0,0.0,0.0
Andrew Walton,10,0.0,0.0,0.0
Chase Furlough,10,0.0,0.0,0.0
Mike Greenstein,2,0.0,0.0,0.0
Donn Berdahl,6,0.0,0.0,0.0
Cedric Bennett,2,0.0,0.0,0.0
Ryan Wechsler,6,0.0,0.0,0.0
Jeff Lewis,4,0.0,0.0,0.0
Fredrick Gipson,6,0.0,0.0,0.0
Jacob Hirz,4,0.0,0.0,0.0
Edward Corbett,3,0.0,0.0,0.0
Connor Macdaid,9,0.0,0.0,0.0
Dave Masino,4,0.0,0.0,0.0
Trey Sytons,2,0.0,0.0,0.0
Billy Brooks,2,0.0,0.0,0.0
Ron Gengenbacher,3,0.0,0.0,0.0
Ben Wolfe,2,0.0,0.0,0.0
"Stephen Orkus, Jr",2,0.0,0.0,0.0
Haywood Bostic,11,0.0,0.0,0.0
Jeffery Anderson,6,0.0,0.0,0.0
Mike Kashirsky,2,0.0,0.0,0.0
Luis Vazquez,4,0.0,0.0,0.0
Marvin Harris,4,0.0,0.0,0.0
Mark Cook,15,0.0,0.0,0.0
Joseph Guyton,8,0.0,0.0,0.0
Ruben Ramos,2,0.0,0.0,0.0
WINSTON TROTTER,2,0.0,0.0,0.0
Albert Buckles,5,0.0,0.0,0.0
Michael Woods,2,0.0,0.0,0.0
Devon Kinsey,2,0.0,0.0,0.0
Jason Horsley,2,0.0,0.0,0.0
Adrian Judie,5,0.0,0.0,0.0
Chris Merlo,5,0.0,0.0,0.0
Eric Dust,5,0.0,0.0,0.0
Lee Kluttz,4,0.0,0.0,0.0
Michael Ingram,4,0.0,0.0,0.0
"Stephen Orkus, Jr.",10,0.0,0.0,0.0
Donatas Siaudinis,2,0.0,0.0,0.0
Juwaan Williams,2,0.0,0.0,0.0
Freddie Williams,9,0.0,0.0,0.0
Errol Lewis,3,0.0,0.0,0.0
Zach Kmieciak,5,0.0,0.0,0.0
William Covington Jr.,2,0.0,0.0,0.0
Dave Cusick,2,0.0,0.0,0.0
Evan Burroughs,8,0.0,0.0,0.0
Coy Gammon,10,0.0,0.0,0.0
THOMAS NORTHCUTT,2,0.0,0.0,0.0
Horace Shields,5,0.0,0.0,0.0
Steven Ruppenthal,4,0.0,0.0,0.0
Lee Klutz,2,0.0,0.0,0.0
John Dillion,2,0.0,0.0,0.0
Jackie Sanders,5,0.0,0.0,0.0
Evan Singletary,2,0.0,0.0,0.0
Kendall Ridley,4,0.0,0.0,0.0
Derek Anganes,7,0.0,0.0,0.0
Klaus Endrissat,3,0.0,0.0,0.0
Austin Jones,14,0.0,0.0,0.0
Joel Curbelo,2,0.0,0.0,0.0
Chris Koopman,3,0.0,0.0,0.0
John Sousa,2,0.0,0.0,0.0
Steve Settle,4,0.0,0.0,0.0
Anthony Thomas,3,0.0,0.0,0.0
Doran Gotschall,4,0.0,0.0,0.0
Alex Thompson,3,0.0,0.0,0.0
Benjamin Price,2,0.0,0.0,0.0
Ray Adams,2,0.0,0.0,0.0
Phil Sallustio,5,0.0,0.0,0.0
Pat Driscol,2,0.0,0.0,0.0
Drew Ransdell,8,0.0,0.0,0.0
Sean West,7,0.0,0.0,0.0
Kerry Sitton,7,0.0,0.0,0.0
Stephen Orkus,2,0.0,0.0,0.0
Lewis Garrison,9,0.0,0.0,0.0
Randall Wells,22,0.0,0.0,0.0
Eddie Fontno,2,0.0,0.0,0.0
Levon Zakarian,11,0.0,0.0,0.0
Glenn Gist,2,0.0,0.0,0.0
Vlad Voyard-Tadal,2,0.0,0.0,0.0
Sean Samsel,10,0.0,0.0,0.0
Todd Apo,3,0.0,0.0,0.0
"Rob Riley, Jr.",3,0.0,0.0,0.0
John Boylan Jr.,3,0.0,0.0,0.0
Eddie Shannon,2,0.0,0.0,0.0
Jose A. Carrion,2,0.0,0.0,0.0
Philip Cudd,6,0.0,0.0,0.0
Jon Pierre,2,0.0,0.0,0.0
Michael Brode,5,0.0,0.0,0.0
Steven Perry,12,0.0,0.0,0.0
Stephen Orkus Jr,6,0.0,0.0,0.0
David Carter,6,0.0,0.0,0.0
Phil Sallustio Jr.,4,0.0,0.0,0.0
Dustin Williams,7,0.0,0.0,0.0
Kelly Anlauf,4,0.0,0.0,0.0
Tariq Lewis,4,0.0,0.0,0.0
Michael Seyphers,3,0.0,0.0,0.0
Les Jones,5,0.0,0.0,0.0
Larry Johnson,2,0.0,0.0,0.0
Tony Santiago,3,0.0,0.0,0.0
Gregg Morstein,3,0.0,0.0,0.0
Tyler Sandman,6,0.0,0.0,0.0
Anthony Munford,2,0.0,0.0,0.0
Jimmy Googas,4,0.0,0.0,0.0
Rick Batsell,17,0.0,0.0,0.0
Trenton Cheney,2,0.0,0.0,0.0
"Phil Sallustio, Jr.",3,0.0,0.0,0.0
Eddie Shannon Jr,2,0.0,0.0,0.0
Matt Porter,3,0.0,0.0,0.0
Wesley Harper,10,0.0,0.0,0.0
Sean Seales,5,0.0,0.0,0.0
John Jenkins,5,0.0,0.0,0.0
Marvin Harris Jr,3,0.0,0.0,0.0
Matt Mason,2,0.0,0.0,0.0
Daniel Adeyemi,2,0.0,0.0,0.0
Scott Tierney,3,0.0,0.0,0.0
Mike Terry,2,0.0,0.0,0.0
Mark Pillen,5,0.0,0.0,0.0
Kelly Pfiefer,2,0.0,0.0,0.0
Kelly Pfeiffer,3,0.0,0.0,0.0
Mike Scyphers,3,0.0,0.0,0.0
Chad Shepard,3,0.0,0.0,0.0
Darren Drake,2,0.0,0.0,0.0
Ed Corbett Jr,2,0.0,0.0,0.0
Patrick O'Connell,7,0.0,0.0,0.0
Brian Crocker,2,0.0,0.0,0.0
Connor Hoagland,2,0.0,0.0,0.0
Michael Smith Jr.,2,0.0,0.0,0.0
Joe Prince,9,0.0,0.0,0.0
Charles Howell Jr.,2,0.0,0.0,0.0
Tyler Jones,21,0.0,0.0,0.0
Corey Taylor,7,0.0,0.0,0.0
Isaac Bennett,2,0.0,0.0,0.0
Guy Pagano,7,0.0,0.0,0.0
Kevin Montz,11,0.0,0.0,0.0
Shane Thurston,2,0.0,0.0,0.0
Brian Hagedorn,3,0.0,0.0,0.0
William Givens,6,0.0,0.0,0.0
Tavares Armour,5,0.0,0.0,0.0
Bobby Lineberger,5,0.0,0.0,0.0
Brent Simmons,5,0.0,0.0,0.0
Thomas McDermott,4,0.0,0.0,0.0
Luis Vasquez,2,0.0,0.0,0.0
Nate Farrell,3,0.0,0.0,0.0
Ed Corbett Jr.,3,0.0,0.0,0.0
Kyle LeRoy,2,0.0,0.0,0.0
Jerry Scherzinger,2,0.0,0.0,0.0
Casey McLellan,2,0.0,0.0,0.0
Ray Nitili,2,0.0,0.0,0.0
Chelsie Schweers,2,0.0,0.0,0.0
Mike Wallace,5,0.0,0.0,0.0
Nathan Quick,2,0.0,0.0,0.0
Jeremy Trussell,8,0.0,0.0,0.0
Pat Sweeney,3,0.0,0.0,0.0
Gary Corbett,9,0.0,0.0,0.0
Evan Ardelean,3,0.0,0.0,0.0
Aron Hart,2,0.0,0.0,0.0
"John Boylan, Jr.",2,0.0,0.0,0.0
Blake Thomas,8,0.0,0.0,0.0
Felix Fuerte,11,0.0,0.0,0.0
Isaac Barnet,2,0.0,0.0,0.0
Mike Fleury,2,0.0,0.0,0.0
Randy Herimerman,2,0.0,0.0,0.0
